age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, >50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, >50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, >50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, >50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, >50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
[50 - 60], [83311 - 231230], 13, 0, 0, [13 - 35], *, United-States, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, >50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
38, [215646 - 316211], 9, 0, 0, 40, Private, America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, >50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, >50K
[53 - 59], [234721 - 373367], 7, 0, 0, [40 - 52], Self, North-America, *, *, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, >50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, >50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, >50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, >50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, >50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, >50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, >50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, >50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, >50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, >50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, >50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, >50K
[37 - 47], [284582 - 356934], 14, 0, 0, [40 - 45], *, America, *, White, *, *, <=50K
[52 - 58], [209642 - 287229], 9, 0, 0, [45 - 48], Self, America, *, *, *, *, >50K
