age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income
[50 - 52], [83311 - 121548], 13, 0, 0, [13 - 30], Self, United-States, *, White, *, *, <=50K
[50 - 52], [83311 - 121548], 13, 0, 0, [13 - 30], Self, United-States, *, White, *, *, <=50K
[50 - 52], [83311 - 121548], 13, 0, 0, [13 - 30], Self, United-States, *, White, *, *, <=50K
[50 - 52], [83311 - 121548], 13, 0, 0, [13 - 30], Self, United-States, *, White, *, *, <=50K
[50 - 52], [83311 - 121548], 13, 0, 0, [13 - 30], Self, United-States, *, White, *, *, <=50K
[50 - 52], [83311 - 121548], 13, 0, 0, [13 - 30], Self, United-States, *, White, *, *, <=50K
[50 - 52], [83311 - 121548], 13, 0, 0, [13 - 30], Self, United-States, *, White, *, *, >50K
38, [215646 - 239755], 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, <=50K
38, [215646 - 239755], 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, <=50K
38, [215646 - 239755], 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, >50K
38, [215646 - 239755], 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, <=50K
38, [215646 - 239755], 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, <=50K
38, [215646 - 239755], 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, >50K
38, [215646 - 239755], 9, 0, 0, 40, Private, America, Male, White, *, manual-labor, <=50K
[53 - 59], [234721 - 245196], 7, 0, 0, [40 - 45], Private, United-States, Male, Black, Husband, *, <=50K
[53 - 59], [234721 - 245196], 7, 0, 0, [40 - 45], Private, United-States, Male, Black, Husband, *, <=50K
[53 - 59], [234721 - 245196], 7, 0, 0, [40 - 45], Private, United-States, Male, Black, Husband, *, >50K
[53 - 59], [234721 - 245196], 7, 0, 0, [40 - 45], Private, United-States, Male, Black, Husband, *, <=50K
[53 - 59], [234721 - 245196], 7, 0, 0, [40 - 45], Private, United-States, Male, Black, Husband, *, <=50K
[53 - 59], [234721 - 245196], 7, 0, 0, [40 - 45], Private, United-States, Male, Black, Husband, *, <=50K
[53 - 59], [234721 - 245196], 7, 0, 0, [40 - 45], Private, United-States, Male, Black, Husband, *, <=50K
[37 - 40], [284582 - 326400], 14, 0, 0, 40, *, United-States, *, White, *, *, <=50K
[37 - 40], [284582 - 326400], 14, 0, 0, 40, *, United-States, *, White, *, *, <=50K
[37 - 40], [284582 - 326400], 14, 0, 0, 40, *, United-States, *, White, *, *, <=50K
[37 - 40], [284582 - 326400], 14, 0, 0, 40, *, United-States, *, White, *, *, >50K
[37 - 40], [284582 - 326400], 14, 0, 0, 40, *, United-States, *, White, *, *, <=50K
[37 - 40], [284582 - 326400], 14, 0, 0, 40, *, United-States, *, White, *, *, >50K
[37 - 40], [284582 - 326400], 14, 0, 0, 40, *, United-States, *, White, *, *, <=50K
[52 - 53], [209642 - 231919], 9, 0, 0, 45, Self, United-States, *, White, *, *, >50K
[52 - 53], [209642 - 231919], 9, 0, 0, 45, Self, United-States, *, White, *, *, <=50K
[52 - 53], [209642 - 231919], 9, 0, 0, 45, Self, United-States, *, White, *, *, <=50K
[52 - 53], [209642 - 231919], 9, 0, 0, 45, Self, United-States, *, White, *, *, >50K
[52 - 53], [209642 - 231919], 9, 0, 0, 45, Self, United-States, *, White, *, *, <=50K
[52 - 53], [209642 - 231919], 9, 0, 0, 45, Self, United-States, *, White, *, *, <=50K
[52 - 53], [209642 - 231919], 9, 0, 0, 45, Self, United-States, *, White, *, *, <=50K
[31 - 40], [45781 - 237943], 14, [14084 - 15024], 0, 50, *, United-States, *, White, *, *, >50K
[31 - 40], [45781 - 237943], 14, [14084 - 15024], 0, 50, *, United-States, *, White, *, *, >50K
[31 - 40], [45781 - 237943], 14, [14084 - 15024], 0, 50, *, United-States, *, White, *, *, >50K
[31 - 40], [45781 - 237943], 14, [14084 - 15024], 0, 50, *, United-States, *, White, *, *, >50K
[31 - 40], [45781 - 237943], 14, [14084 - 15024], 0, 50, *, United-States, *, White, *, *, >50K
[31 - 40], [45781 - 237943], 14, [14084 - 15024], 0, 50, *, United-States, *, White, *, *, >50K
[31 - 40], [45781 - 237943], 14, [14084 - 15024], 0, 50, *, United-States, *, White, *, *, >50K
[42 - 44], [159449 - 196545], 13, [5178 - 7688], 0, 40, *, United-States, Male, White, Husband, *, >50K
[42 - 44], [159449 - 196545], 13, [5178 - 7688], 0, 40, *, United-States, Male, White, Husband, *, >50K
[42 - 44], [159449 - 196545], 13, [5178 - 7688], 0, 40, *, United-States, Male, White, Husband, *, <=50K
[42 - 44], [159449 - 196545], 13, [5178 - 7688], 0, 40, *, United-States, Male, White, Husband, *, >50K
[42 - 44], [159449 - 196545], 13, [5178 - 7688], 0, 40, *, United-States, Male, White, Husband, *, >50K
[42 - 44], [159449 - 196545], 13, [5178 - 7688], 0, 40, *, United-States, Male, White, Husband, *, >50K
[42 - 44], [159449 - 196545], 13, [5178 - 7688], 0, 40, *, United-States, Male, White, Husband, *, >50K
[37 - 50], [280464 - 415051], 10, 0, 0, 80, Private, United-States, Male, Black, Husband, *, >50K
[37 - 50], [280464 - 415051], 10, 0, 0, 80, Private, United-States, Male, Black, Husband, *, >50K
[37 - 50], [280464 - 415051], 10, 0, 0, 80, Private, United-States, Male, Black, Husband, *, >50K
[37 - 50], [280464 - 415051], 10, 0, 0, 80, Private, United-States, Male, Black, Husband, *, <=50K
[37 - 50], [280464 - 415051], 10, 0, 0, 80, Private, United-States, Male, Black, Husband, *, >50K
[37 - 50], [280464 - 415051], 10, 0, 0, 80, Private, United-States, Male, Black, Husband, *, >50K
[37 - 50], [280464 - 415051], 10, 0, 0, 80, Private, United-States, Male, Black, Husband, *, >50K
[23 - 24], [122272 - 172496], 13, 0, 0, [30 - 33], Private, United-States, *, White, *, *, <=50K
[23 - 24], [122272 - 172496], 13, 0, 0, [30 - 33], Private, United-States, *, White, *, *, <=50K
[23 - 24], [122272 - 172496], 13, 0, 0, [30 - 33], Private, United-States, *, White, *, *, <=50K
[23 - 24], [122272 - 172496], 13, 0, 0, [30 - 33], Private, United-States, *, White, *, *, <=50K
[23 - 24], [122272 - 172496], 13, 0, 0, [30 - 33], Private, United-States, *, White, *, *, <=50K
[23 - 24], [122272 - 172496], 13, 0, 0, [30 - 33], Private, United-States, *, White, *, *, <=50K
[23 - 24], [122272 - 172496], 13, 0, 0, [30 - 33], Private, United-States, *, White, *, *, <=50K
[32 - 44], [205019 - 308489], [12 - 13], 0, 0, 50, Private, *, Male, Black, *, *, <=50K
[32 - 44], [205019 - 308489], [12 - 13], 0, 0, 50, Private, *, Male, Black, *, *, >50K
[32 - 44], [205019 - 308489], [12 - 13], 0, 0, 50, Private, *, Male, Black, *, *, <=50K
[32 - 44], [205019 - 308489], [12 - 13], 0, 0, 50, Private, *, Male, Black, *, *, <=50K
[32 - 44], [205019 - 308489], [12 - 13], 0, 0, 50, Private, *, Male, Black, *, *, >50K
[32 - 44], [205019 - 308489], [12 - 13], 0, 0, 50, Private, *, Male, Black, *, *, <=50K
[32 - 44], [205019 - 308489], [12 - 13], 0, 0, 50, Private, *, Male, Black, *, *, >50K
32, [186824 - 192565], 9, 0, 0, 40, Private, United-States, Male, White, *, manual-labor, <=50K
32, [186824 - 192565], 9, 0, 0, 40, Private, United-States, Male, White, *, manual-labor, <=50K
