age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income
[50 - 51], [83311 - 86373], 13, 0, 0, [13 - 25], Self, United-States, *, White, *, *, <=50K
[50 - 51], [83311 - 86373], 13, 0, 0, [13 - 25], Self, United-States, *, White, *, *, <=50K
[50 - 51], [83311 - 86373], 13, 0, 0, [13 - 25], Self, United-States, *, White, *, *, <=50K
38, [215646 - 223433], 9, 0, 0, 40, Private, United-States, Male, White, *, manual-labor, <=50K
38, [215646 - 223433], 9, 0, 0, 40, Private, United-States, Male, White, *, manual-labor, <=50K
38, [215646 - 223433], 9, 0, 0, 40, Private, United-States, Male, White, *, manual-labor, <=50K
[53 - 54], [234721 - 246936], 7, 0, 0, 40, Private, United-States, Male, *, *, *, <=50K
[53 - 54], [234721 - 246936], 7, 0, 0, 40, Private, United-States, Male, *, *, *, <=50K
[53 - 54], [234721 - 246936], 7, 0, 0, 40, Private, United-States, Male, *, *, *, >50K
37, [284582 - 298444], 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K
37, [284582 - 298444], 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K
37, [284582 - 298444], 14, 0, 0, 40, Self, United-States, *, White, *, *, <=50K
52, [209642 - 217663], 9, 0, 0, 45, Self, United-States, Male, White, *, *, >50K
52, [209642 - 217663], 9, 0, 0, 45, Self, United-States, Male, White, *, *, >50K
52, [209642 - 217663], 9, 0, 0, 45, Self, United-States, Male, White, *, *, <=50K
[31 - 33], [45781 - 72630], 14, 14084, 0, 50, *, United-States, *, White, *, *, >50K
[31 - 33], [45781 - 72630], 14, 14084, 0, 50, *, United-States, *, White, *, *, >50K
[31 - 33], [45781 - 72630], 14, 14084, 0, 50, *, United-States, *, White, *, *, >50K
42, [159449 - 174575], 13, [5178 - 7298], 0, 40, *, United-States, Male, White, Husband, *, >50K
42, [159449 - 174575], 13, [5178 - 7298], 0, 40, *, United-States, Male, White, Husband, *, >50K
42, [159449 - 174575], 13, [5178 - 7298], 0, 40, *, United-States, Male, White, Husband, *, >50K
[37 - 41], [280464 - 336643], 10, 0, 0, 80, Private, United-States, *, *, *, *, >50K
[37 - 41], [280464 - 336643], 10, 0, 0, 80, Private, United-States, *, *, *, *, <=50K
[37 - 41], [280464 - 336643], 10, 0, 0, 80, Private, United-States, *, *, *, *, >50K
23, 122272, 13, 0, 0, [30 - 32], Private, United-States, Female, White, *, bureaucracy, <=50K
23, 122272, 13, 0, 0, [30 - 32], Private, United-States, Female, White, *, bureaucracy, <=50K
23, 122272, 13, 0, 0, [30 - 32], Private, United-States, Female, White, *, bureaucracy, <=50K
[32 - 34], [205019 - 208785], 12, 0, 0, 50, Private, United-States, Male, *, *, Sales, <=50K
[32 - 34], [205019 - 208785], 12, 0, 0, 50, Private, United-States, Male, *, *, Sales, <=50K
[32 - 34], [205019 - 208785], 12, 0, 0, 50, Private, United-States, Male, *, *, Sales, >50K
32, [186824 - 188557], 9, 0, 0, 40, Private, United-States, Male, White, *, Machine-op-inspct, <=50K
32, [186824 - 188557], 9, 0, 0, 40, Private, United-States, Male, White, *, Machine-op-inspct, <=50K
32, [186824 - 188557], 9, 0, 0, 40, Private, United-States, Male, White, *, Machine-op-inspct, <=50K
38, [28887 - 89040], 7, 0, 0, 50, Private, United-States, Male, White, Husband, *, <=50K
38, [28887 - 89040], 7, 0, 0, 50, Private, United-States, Male, White, Husband, *, <=50K
38, [28887 - 89040], 7, 0, 0, 50, Private, United-States, Male, White, Husband, *, <=50K
[40 - 41], 193524, 16, 0, 0, 60, Private, United-States, Male, White, Husband, Prof-specialty, >50K
[40 - 41], 193524, 16, 0, 0, 60, Private, United-States, Male, White, Husband, Prof-specialty, >50K
[40 - 41], 193524, 16, 0, 0, 60, Private, United-States, Male, White, Husband, Prof-specialty, >50K
[43 - 46], [117037 - 187033], [7 - 9], 0, [2042 - 2051], 40, Private, United-States, Male, White, Husband, manual-labor, <=50K
[43 - 46], [117037 - 187033], [7 - 9], 0, [2042 - 2051], 40, Private, United-States, Male, White, Husband, manual-labor, >50K
[43 - 46], [117037 - 187033], [7 - 9], 0, [2042 - 2051], 40, Private, United-States, Male, White, Husband, manual-labor, <=50K
59, [109015 - 113203], 9, 0, 0, 40, Private, United-States, Female, White, *, *, <=50K
59, [109015 - 113203], 9, 0, 0, 40, Private, United-States, Female, White, *, *, <=50K
59, [109015 - 113203], 9, 0, 0, 40, Private, United-States, Female, White, *, *, <=50K
56, 216851, 13, 0, 0, 40, *, United-States, Male, White, Husband, services, >50K
56, 216851, 13, 0, 0, 40, *, United-States, Male, White, Husband, services, >50K
56, 216851, 13, 0, 0, 40, *, United-States, Male, White, Husband, services, >50K
19, 168294, 9, 0, 0, 40, Private, United-States, Male, White, Own-child, manual-labor, <=50K
19, 168294, 9, 0, 0, 40, Private, United-States, Male, White, Own-child, manual-labor, <=50K
19, 168294, 9, 0, 0, 40, Private, United-States, Male, White, Own-child, manual-labor, <=50K
39, [367260 - 436361], 9, 0, 0, [80 - 84], Self, United-States, *, White, *, *, <=50K
39, [367260 - 436361], 9, 0, 0, [80 - 84], Self, United-States, *, White, *, *, <=50K
39, [367260 - 436361], 9, 0, 0, [80 - 84], Self, United-States, *, White, *, *, <=50K
49, 193366, 9, 0, 0, 40, Private, United-States, Male, White, Husband, Craft-repair, <=50K
49, 193366, 9, 0, 0, 40, Private, United-States, Male, White, Husband, Craft-repair, >50K
49, 193366, 9, 0, 0, 40, Private, United-States, Male, White, Husband, Craft-repair, <=50K
45, [386940 - 405284], 13, 0, [1408 - 1741], [40 - 42], Private, United-States, *, White, *, *, <=50K
45, [386940 - 405284], 13, 0, [1408 - 1741], [40 - 42], Private, United-States, *, White, *, *, <=50K
45, [386940 - 405284], 13, 0, [1408 - 1741], [40 - 42], Private, United-States, *, White, *, *, <=50K
30, 59951, 10, 0, 0, 40, *, United-States, *, White, *, *, <=50K
30, 59951, 10, 0, 0, 40, *, United-States, *, White, *, *, <=50K
30, 59951, 10, 0, 0, 40, *, United-States, *, White, *, *, <=50K
21, [197200 - 204641], 10, 0, 0, 40, Private, United-States, Male, White, *, *, <=50K
21, [197200 - 204641], 10, 0, 0, 40, Private, United-States, Male, White, *, *, <=50K
21, [197200 - 204641], 10, 0, 0, 40, Private, United-States, Male, White, *, *, <=50K
48, [265477 - 269284], 12, 0, 0, 40, Self, United-States, *, White, *, *, <=50K
48, [265477 - 269284], 12, 0, 0, 40, Self, United-States, *, White, *, *, <=50K
48, [265477 - 269284], 12, 0, 0, 40, Self, United-States, *, White, *, *, <=50K
31, [507875 - 512771], 5, 0, 0, [43 - 45], Private, United-States, Male, White, Husband, manual-labor, <=50K
31, [507875 - 512771], 5, 0, 0, [43 - 45], Private, United-States, Male, White, Husband, manual-labor, <=50K
31, [507875 - 512771], 5, 0, 0, [43 - 45], Private, United-States, Male, White, Husband, manual-labor, <=50K
[53 - 54], [88506 - 98535], 13, 0, 0, 40, Self, United-States, Male, White, Husband, *, <=50K
[53 - 54], [88506 - 98535], 13, 0, 0, 40, Self, United-States, Male, White, Husband, *, <=50K
[53 - 54], [88506 - 98535], 13, 0, 0, 40, Self, United-States, Male, White, Husband, *, >50K
24, [172987 - 185452], 13, 0, 0, 50, Private, United-States, *, White, *, services, <=50K
24, [172987 - 185452], 13, 0, 0, 50, Private, United-States, *, White, *, services, <=50K
24, [172987 - 185452], 13, 0, 0, 50, Private, United-States, *, White, *, services, <=50K
49, [94638 - 104542], 9, 0, 0, 40, Private, United-States, *, White, *, Adm-clerical, <=50K
49, [94638 - 104542], 9, 0, 0, 40, Private, United-States, *, White, *, Adm-clerical, >50K
49, [94638 - 104542], 9, 0, 0, 40, Private, United-States, *, White, *, Adm-clerical, <=50K
25, [289980 - 304032], 9, 0, 0, [35 - 36], Private, United-States, Male, White, *, *, <=50K
25, [289980 - 304032], 9, 0, 0, [35 - 36], Private, United-States, Male, White, *, *, <=50K
25, [289980 - 304032], 9, 0, 0, [35 - 36], Private, United-States, Male, White, *, *, <=50K
53, [144361 - 149784], 9, 0, 0, [38 - 40], Private, United-States, Male, White, Husband, Machine-op-inspct, <=50K
53, [144361 - 149784], 9, 0, 0, [38 - 40], Private, United-States, Male, White, Husband, Machine-op-inspct, >50K
53, [144361 - 149784], 9, 0, 0, [38 - 40], Private, United-States, Male, White, Husband, Machine-op-inspct, <=50K
44, 128354, 14, 0, 0, 40, *, United-States, *, White, *, Exec-managerial, <=50K
44, 128354, 14, 0, 0, 40, *, United-States, *, White, *, Exec-managerial, >50K
44, 128354, 14, 0, 0, 40, *, United-States, *, White, *, Exec-managerial, <=50K
[41 - 42], [101603 - 106900], 11, 0, 0, 40, *, United-States, Male, White, *, *, <=50K
[41 - 42], [101603 - 106900], 11, 0, 0, 40, *, United-States, Male, White, *, *, >50K
[41 - 42], [101603 - 106900], 11, 0, 0, 40, *, United-States, Male, White, *, *, <=50K
29, 271466, 11, 0, 0, 43, Private, United-States, Male, White, Not-in-family, *, <=50K
29, 271466, 11, 0, 0, 43, Private, United-States, Male, White, Not-in-family, *, <=50K
29, 271466, 11, 0, 0, 43, Private, United-States, Male, White, Not-in-family, *, <=50K
43, [237993 - 243380], 10, 0, 0, 40, Private, United-States, Male, *, Husband, *, >50K
43, [237993 - 243380], 10, 0, 0, 40, Private, United-States, Male, *, Husband, *, <=50K
43, [237993 - 243380], 10, 0, 0, 40, Private, United-States, Male, *, Husband, *, <=50K
35, [56352 - 80479], 11, 0, 0, 40, Private, America, Male, White, *, *, <=50K
35, [56352 - 80479], 11, 0, 0, 40, Private, America, Male, White, *, *, <=50K
