age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
47.5, 41, 13, *, *, *, *, *, *, *, Never-married
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Never-married
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-spouse-absent
47.5, 41, 13, *, *, *, *, *, *, *, Never-married
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Never-married
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Separated
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Never-married
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Never-married
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Never-married
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Never-married
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Separated
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-spouse-absent
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Widowed
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Never-married
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Divorced
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Widowed
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Never-married
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Married-civ-spouse
47.5, 41, 13, *, *, *, *, *, *, *, Separated
47.5, 41, 13, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-spouse-absent
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Widowed
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Widowed
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Widowed
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Divorced
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Never-married
60.5, 46.5, 13.5, *, *, *, *, *, *, *, Married-civ-spouse
