age, fnlwgt, capital-gain, capital-loss, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
40, 99027.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 13
40, 99027.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 10
40, 99027.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 13
40, 99027.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 9
40, 99027.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 10
40, 99027.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 14
40, 99027.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 10
40, 99027.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 6
40, 99027.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 12
40, 99027.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 10
40, 99027.5, 3058, 0, 40, *, United-States, *, White, *, *, *, *, 10
50.5, 136536.5, 0, 0, 15, *, America, *, *, *, *, *, *, 13
50.5, 136536.5, 0, 0, 15, *, America, *, *, *, *, *, *, 5
50.5, 136536.5, 0, 0, 15, *, America, *, *, *, *, *, *, 9
50.5, 136536.5, 0, 0, 15, *, America, *, *, *, *, *, *, 10
50.5, 136536.5, 0, 0, 15, *, America, *, *, *, *, *, *, 10
50.5, 136536.5, 0, 0, 15, *, America, *, *, *, *, *, *, 14
50.5, 136536.5, 0, 0, 15, *, America, *, *, *, *, *, *, 9
50.5, 136536.5, 0, 0, 15, *, America, *, *, *, *, *, *, 10
50.5, 136536.5, 0, 0, 15, *, America, *, *, *, *, *, *, 9
50.5, 136536.5, 0, 0, 15, *, America, *, *, *, *, *, *, 3
50.5, 136536.5, 0, 0, 15, *, America, *, *, *, *, *, *, 10
38, 219539.5, 0, 0, 40, *, America, *, White, *, *, *, *, 9
38, 219539.5, 0, 0, 40, *, America, *, White, *, *, *, *, 10
38, 219539.5, 0, 0, 40, *, America, *, White, *, *, *, *, 9
38, 219539.5, 0, 0, 40, *, America, *, White, *, *, *, *, 13
38, 219539.5, 0, 0, 40, *, America, *, White, *, *, *, *, 10
38, 219539.5, 0, 0, 40, *, America, *, White, *, *, *, *, 10
38, 219539.5, 0, 0, 40, *, America, *, White, *, *, *, *, 11
38, 219539.5, 0, 0, 40, *, America, *, White, *, *, *, *, 9
38, 219539.5, 0, 0, 40, *, America, *, White, *, *, *, *, 3
38, 219539.5, 0, 0, 40, *, America, *, White, *, *, *, *, 14
38, 219539.5, 0, 0, 40, *, America, *, White, *, *, *, *, 3
53, 240419, 0, 0, 40, *, America, *, *, *, *, *, *, 7
53, 240419, 0, 0, 40, *, America, *, *, *, *, *, *, 9
53, 240419, 0, 0, 40, *, America, *, *, *, *, *, *, 14
53, 240419, 0, 0, 40, *, America, *, *, *, *, *, *, 10
53, 240419, 0, 0, 40, *, America, *, *, *, *, *, *, 12
53, 240419, 0, 0, 40, *, America, *, *, *, *, *, *, 16
53, 240419, 0, 0, 40, *, America, *, *, *, *, *, *, 9
53, 240419, 0, 0, 40, *, America, *, *, *, *, *, *, 14
53, 240419, 0, 0, 40, *, America, *, *, *, *, *, *, 10
53, 240419, 0, 0, 40, *, America, *, *, *, *, *, *, 10
53, 240419, 0, 0, 40, *, America, *, *, *, *, *, *, 9
28, 340059, 0, 0, 40, *, *, *, *, *, *, *, *, 13
28, 340059, 0, 0, 40, *, *, *, *, *, *, *, *, 9
28, 340059, 0, 0, 40, *, *, *, *, *, *, *, *, 10
28, 340059, 0, 0, 40, *, *, *, *, *, *, *, *, 13
28, 340059, 0, 0, 40, *, *, *, *, *, *, *, *, 12
28, 340059, 0, 0, 40, *, *, *, *, *, *, *, *, 9
28, 340059, 0, 0, 40, *, *, *, *, *, *, *, *, 13
28, 340059, 0, 0, 40, *, *, *, *, *, *, *, *, 9
28, 340059, 0, 0, 40, *, *, *, *, *, *, *, *, 9
28, 340059, 0, 0, 40, *, *, *, *, *, *, *, *, 10
28, 340059, 0, 0, 40, *, *, *, *, *, *, *, *, 9
37, 289750.5, 0, 0, 40, *, United-States, *, *, *, *, *, *, 14
37, 289750.5, 0, 0, 40, *, United-States, *, *, *, *, *, *, 10
37, 289750.5, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 289750.5, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 289750.5, 0, 0, 40, *, United-States, *, *, *, *, *, *, 10
37, 289750.5, 0, 0, 40, *, United-States, *, *, *, *, *, *, 15
37, 289750.5, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 289750.5, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 289750.5, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
37, 289750.5, 0, 0, 40, *, United-States, *, *, *, *, *, *, 10
37, 289750.5, 0, 0, 40, *, United-States, *, *, *, *, *, *, 9
52.5, 220887, 0, 0, 45, *, United-States, *, White, *, *, *, *, 9
52.5, 220887, 0, 0, 45, *, United-States, *, White, *, *, *, *, 13
