CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT, MEDV
0.24964999999999998, 18, 6.105, 0, 0.541, 6.827, 76.25, 4.09, 3, 300, 16.85, 396.9, 7.3100000000000005, 24.00
0.24964999999999998, 18, 6.105, 0, 0.541, 6.827, 76.25, 4.09, 3, 300, 16.85, 396.9, 7.3100000000000005, 23.60
0.24964999999999998, 18, 6.105, 0, 0.541, 6.827, 76.25, 4.09, 3, 300, 16.85, 396.9, 7.3100000000000005, 28.70
0.24964999999999998, 18, 6.105, 0, 0.541, 6.827, 76.25, 4.09, 3, 300, 16.85, 396.9, 7.3100000000000005, 22.60
0.24964999999999998, 18, 6.105, 0, 0.541, 6.827, 76.25, 4.09, 3, 300, 16.85, 396.9, 7.3100000000000005, 22.00
0.24964999999999998, 18, 6.105, 0, 0.541, 6.827, 76.25, 4.09, 3, 300, 16.85, 396.9, 7.3100000000000005, 23.60
0.24964999999999998, 18, 6.105, 0, 0.541, 6.827, 76.25, 4.09, 3, 300, 16.85, 396.9, 7.3100000000000005, 22.60
0.24964999999999998, 18, 6.105, 0, 0.541, 6.827, 76.25, 4.09, 3, 300, 16.85, 396.9, 7.3100000000000005, 24.60
0.24964999999999998, 18, 6.105, 0, 0.541, 6.827, 76.25, 4.09, 3, 300, 16.85, 396.9, 7.3100000000000005, 29.90
0.24964999999999998, 18, 6.105, 0, 0.541, 6.827, 76.25, 4.09, 3, 300, 16.85, 396.9, 7.3100000000000005, 22.80
0.24964999999999998, 18, 6.105, 0, 0.541, 6.827, 76.25, 4.09, 3, 300, 16.85, 396.9, 7.3100000000000005, 23.80
0.17279, 0, 8.83, 0, 0.5065, 6.803, 82.2, 5.5274, 3, 273, 18.200000000000003, 396.9, 13.97, 21.60
0.17279, 0, 8.83, 0, 0.5065, 6.803, 82.2, 5.5274, 3, 273, 18.200000000000003, 396.9, 13.97, 34.70
0.17279, 0, 8.83, 0, 0.5065, 6.803, 82.2, 5.5274, 3, 273, 18.200000000000003, 396.9, 13.97, 16.60
0.17279, 0, 8.83, 0, 0.5065, 6.803, 82.2, 5.5274, 3, 273, 18.200000000000003, 396.9, 13.97, 19.40
0.17279, 0, 8.83, 0, 0.5065, 6.803, 82.2, 5.5274, 3, 273, 18.200000000000003, 396.9, 13.97, 23.90
0.17279, 0, 8.83, 0, 0.5065, 6.803, 82.2, 5.5274, 3, 273, 18.200000000000003, 396.9, 13.97, 26.60
0.17279, 0, 8.83, 0, 0.5065, 6.803, 82.2, 5.5274, 3, 273, 18.200000000000003, 396.9, 13.97, 24.40
0.17279, 0, 8.83, 0, 0.5065, 6.803, 82.2, 5.5274, 3, 273, 18.200000000000003, 396.9, 13.97, 22.50
0.17279, 0, 8.83, 0, 0.5065, 6.803, 82.2, 5.5274, 3, 273, 18.200000000000003, 396.9, 13.97, 21.60
0.17279, 0, 8.83, 0, 0.5065, 6.803, 82.2, 5.5274, 3, 273, 18.200000000000003, 396.9, 13.97, 16.20
0.17279, 0, 8.83, 0, 0.5065, 6.803, 82.2, 5.5274, 3, 273, 18.200000000000003, 396.9, 13.97, 17.80
0.099985, 0, 4.78, 0, 0.47550000000000003, 7.4145, 54.15, 6.0622, 4, 254.5, 19.15, 395.765, 7.8999999999999995, 33.40
0.099985, 0, 4.78, 0, 0.47550000000000003, 7.4145, 54.15, 6.0622, 4, 254.5, 19.15, 395.765, 7.8999999999999995, 36.20
0.099985, 0, 4.78, 0, 0.47550000000000003, 7.4145, 54.15, 6.0622, 4, 254.5, 19.15, 395.765, 7.8999999999999995, 28.70
0.099985, 0, 4.78, 0, 0.47550000000000003, 7.4145, 54.15, 6.0622, 4, 254.5, 19.15, 395.765, 7.8999999999999995, 21.20
0.099985, 0, 4.78, 0, 0.47550000000000003, 7.4145, 54.15, 6.0622, 4, 254.5, 19.15, 395.765, 7.8999999999999995, 22.50
0.099985, 0, 4.78, 0, 0.47550000000000003, 7.4145, 54.15, 6.0622, 4, 254.5, 19.15, 395.765, 7.8999999999999995, 22.20
0.099985, 0, 4.78, 0, 0.47550000000000003, 7.4145, 54.15, 6.0622, 4, 254.5, 19.15, 395.765, 7.8999999999999995, 43.80
0.099985, 0, 4.78, 0, 0.47550000000000003, 7.4145, 54.15, 6.0622, 4, 254.5, 19.15, 395.765, 7.8999999999999995, 33.20
0.099985, 0, 4.78, 0, 0.47550000000000003, 7.4145, 54.15, 6.0622, 4, 254.5, 19.15, 395.765, 7.8999999999999995, 37.20
0.099985, 0, 4.78, 0, 0.47550000000000003, 7.4145, 54.15, 6.0622, 4, 254.5, 19.15, 395.765, 7.8999999999999995, 50.00
0.099985, 0, 4.78, 0, 0.47550000000000003, 7.4145, 54.15, 6.0622, 4, 254.5, 19.15, 395.765, 7.8999999999999995, 23.80
0.15659, 21.25, 7.87, 0, 0.524, 6.4544999999999995, 83.3, 6.298, 5.5, 311, 16, 396.25, 21.18, 22.90
