CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT, MEDV
0.04905, 18, 3.1799999999999997, 0, 0.538, 6.827, 75.75, 4.09, 3, 296, 16.55, 396.9, 7.3100000000000005, 24.00
0.04905, 18, 3.1799999999999997, 0, 0.538, 6.827, 75.75, 4.09, 3, 296, 16.55, 396.9, 7.3100000000000005, 23.60
0.04905, 18, 3.1799999999999997, 0, 0.538, 6.827, 75.75, 4.09, 3, 296, 16.55, 396.9, 7.3100000000000005, 28.70
0.04905, 18, 3.1799999999999997, 0, 0.538, 6.827, 75.75, 4.09, 3, 296, 16.55, 396.9, 7.3100000000000005, 23.60
0.04905, 18, 3.1799999999999997, 0, 0.538, 6.827, 75.75, 4.09, 3, 296, 16.55, 396.9, 7.3100000000000005, 22.60
0.04905, 18, 3.1799999999999997, 0, 0.538, 6.827, 75.75, 4.09, 3, 296, 16.55, 396.9, 7.3100000000000005, 24.60
0.04905, 18, 3.1799999999999997, 0, 0.538, 6.827, 75.75, 4.09, 3, 296, 16.55, 396.9, 7.3100000000000005, 29.90
0.12829000000000002, 0, 7.07, 0, 0.479, 6.803, 82.2, 5.5274, 2.5, 259, 17.9, 396.9, 13.97, 21.60
0.12829000000000002, 0, 7.07, 0, 0.479, 6.803, 82.2, 5.5274, 2.5, 259, 17.9, 396.9, 13.97, 34.70
0.12829000000000002, 0, 7.07, 0, 0.479, 6.803, 82.2, 5.5274, 2.5, 259, 17.9, 396.9, 13.97, 16.60
0.12829000000000002, 0, 7.07, 0, 0.479, 6.803, 82.2, 5.5274, 2.5, 259, 17.9, 396.9, 13.97, 19.40
0.12829000000000002, 0, 7.07, 0, 0.479, 6.803, 82.2, 5.5274, 2.5, 259, 17.9, 396.9, 13.97, 22.60
0.12829000000000002, 0, 7.07, 0, 0.479, 6.803, 82.2, 5.5274, 2.5, 259, 17.9, 396.9, 13.97, 22.00
0.12829000000000002, 0, 7.07, 0, 0.479, 6.803, 82.2, 5.5274, 2.5, 259, 17.9, 396.9, 13.97, 21.40
0.05194, 0, 3.335, 0, 0.458, 7.0725, 52.25, 6.0622, 3, 234.5, 18.7, 395.765, 7.8999999999999995, 33.40
0.05194, 0, 3.335, 0, 0.458, 7.0725, 52.25, 6.0622, 3, 234.5, 18.7, 395.765, 7.8999999999999995, 36.20
0.05194, 0, 3.335, 0, 0.458, 7.0725, 52.25, 6.0622, 3, 234.5, 18.7, 395.765, 7.8999999999999995, 28.70
0.05194, 0, 3.335, 0, 0.458, 7.0725, 52.25, 6.0622, 3, 234.5, 18.7, 395.765, 7.8999999999999995, 23.90
