CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT, MEDV
0.036370000000000006, 18, 3.1799999999999997, 0, 0.538, 6.7175, 69.80000000000001, 4.09, 3, 296, 15.950000000000001, 396.9, 5.95, 24.00
0.036370000000000006, 18, 3.1799999999999997, 0, 0.538, 6.7175, 69.80000000000001, 4.09, 3, 296, 15.950000000000001, 396.9, 5.95, 24.60
0.036370000000000006, 18, 3.1799999999999997, 0, 0.538, 6.7175, 69.80000000000001, 4.09, 3, 296, 15.950000000000001, 396.9, 5.95, 29.90
0.033315, 0, 7.07, 0, 0.479, 6.803, 78.9, 4.9671, 2, 256, 17.8, 396.9, 9.14, 21.60
0.033315, 0, 7.07, 0, 0.479, 6.803, 78.9, 4.9671, 2, 256, 17.8, 396.9, 9.14, 34.70
0.033315, 0, 7.07, 0, 0.479, 6.803, 78.9, 4.9671, 2, 256, 17.8, 396.9, 9.14, 22.00
0.050710000000000005, 0, 2.18, 0, 0.458, 7.0725, 52.25, 6.0622, 3, 222, 18.7, 395.765, 4.135, 33.40
0.050710000000000005, 0, 2.18, 0, 0.458, 7.0725, 52.25, 6.0622, 3, 222, 18.7, 395.765, 4.135, 36.20
0.050710000000000005, 0, 2.18, 0, 0.458, 7.0725, 52.25, 6.0622, 3, 222, 18.7, 395.765, 4.135, 28.70
0.129165, 12.5, 7.87, 0, 0.524, 6.012, 76.25, 6.0763, 5, 311, 15.2, 396.25, 14.765, 22.90
0.129165, 12.5, 7.87, 0, 0.524, 6.012, 76.25, 6.0763, 5, 311, 15.2, 396.25, 14.765, 18.90
0.129165, 12.5, 7.87, 0, 0.524, 6.012, 76.25, 6.0763, 5, 311, 15.2, 396.25, 14.765, 18.90
0.18472, 12.5, 7.87, 0, 0.524, 6.2745, 98.05, 6.1486, 5, 311, 15.2, 396.9, 24.54, 27.10
0.18472, 12.5, 7.87, 0, 0.524, 6.2745, 98.05, 6.1486, 5, 311, 15.2, 396.9, 24.54, 16.50
0.18472, 12.5, 7.87, 0, 0.524, 6.2745, 98.05, 6.1486, 5, 311, 15.2, 396.9, 24.54, 15.00
0.22246, 12.5, 7.87, 0, 0.524, 5.986000000000001, 44.45, 5.4509, 5, 311, 17.4, 393.7, 15.71, 21.70
0.22246, 12.5, 7.87, 0, 0.524, 5.986000000000001, 44.45, 5.4509, 5, 311, 17.4, 393.7, 15.71, 20.40
0.22246, 12.5, 7.87, 0, 0.524, 5.986000000000001, 44.45, 5.4509, 5, 311, 17.4, 393.7, 15.71, 22.20
0.67778, 0, 8.14, 0, 0.538, 5.949, 65.65, 4.7075, 4, 307, 21, 396.9, 9.77, 20.40
0.67778, 0, 8.14, 0, 0.538, 5.949, 65.65, 4.7075, 4, 307, 21, 396.9, 9.77, 19.90
0.67778, 0, 8.14, 0, 0.538, 5.949, 65.65, 4.7075, 4, 307, 21, 396.9, 9.77, 18.20
0.745, 0, 8.14, 0, 0.538, 6.096, 86.85, 4.4619, 4, 307, 21, 386.275, 12.465, 18.20
0.745, 0, 8.14, 0, 0.538, 6.096, 86.85, 4.4619, 4, 307, 21, 386.275, 12.465, 17.50
0.745, 0, 8.14, 0, 0.538, 6.096, 86.85, 4.4619, 4, 307, 21, 386.275, 12.465, 19.60
1.05393, 0, 8.14, 0, 0.538, 6.175, 34.7, 4.95725, 4.5, 307, 21, 391.875, 6.58, 23.10
1.05393, 0, 8.14, 0, 0.538, 6.175, 34.7, 4.95725, 4.5, 307, 21, 391.875, 6.58, 25.00
1.05393, 0, 8.14, 0, 0.538, 6.175, 34.7, 4.95725, 4.5, 307, 21, 391.875, 6.58, 23.00
0.87924, 0, 8.14, 0, 0.538, 5.7515, 62.7, 4.1255500000000005, 4, 307, 21, 297.685, 14.485, 20.20
0.87924, 0, 8.14, 0, 0.538, 5.7515, 62.7, 4.1255500000000005, 4, 307, 21, 297.685, 14.485, 13.90
0.87924, 0, 8.14, 0, 0.538, 5.7515, 62.7, 4.1255500000000005, 4, 307, 21, 297.685, 14.485, 14.80
1.25179, 0, 8.14, 0, 0.538, 5.6915, 99.05, 4.0154499999999995, 4, 307, 21, 385.555, 21.810000000000002, 13.60
1.25179, 0, 8.14, 0, 0.538, 5.6915, 99.05, 4.0154499999999995, 4, 307, 21, 385.555, 21.810000000000002, 14.50
1.25179, 0, 8.14, 0, 0.538, 5.6915, 99.05, 4.0154499999999995, 4, 307, 21, 385.555, 21.810000000000002, 12.70
1.23247, 0, 8.14, 0, 0.538, 6.142, 93.35, 4.18825, 4, 307, 21, 396.9, 18.72, 15.20
1.23247, 0, 8.14, 0, 0.538, 6.142, 93.35, 4.18825, 4, 307, 21, 396.9, 18.72, 15.60
