dataset,precision,recall,F1 score
adults_anonymized_k03_emph_age.csv,0.70577965261574094,0.4349104276031035,0.53808893661234192
adults_anonymized_k03_emph_race.csv,0.71877339273384178,0.4401894026066383,0.54594627964169806
adults_anonymized_k03_equal.csv,0.73561456904790812,0.50643667842935813,0.59957495926477744
adults_anonymized_k07_emph_age.csv,0.70229351737501811,0.34710640849894747,0.46444622149512177
adults_anonymized_k07_emph_race.csv,0.69691026391515898,0.34956742855162093,0.46553219891189707
adults_anonymized_k07_equal.csv,0.71361828284168927,0.40298695378649746,0.51499706981898963
adults_anonymized_k11_emph_age.csv,0.69003551366005333,0.31143529117468466,0.42909011799442875
adults_anonymized_k11_emph_race.csv,0.69295928160213238,0.33664371159445161,0.45294493558551735
adults_anonymized_k11_equal.csv,0.70627178208142993,0.3721246696856505,0.48726325402880094
adults_anonymized_k15_emph_age.csv,0.69372306558345076,0.31799768478976176,0.43590570763736547
adults_anonymized_k15_emph_race.csv,0.69382902283820458,0.33296608811326822,0.44966913286813515
adults_anonymized_k15_equal.csv,0.69243345505919129,0.33834167393125958,0.45444290225673101
adults_anonymized_k19_emph_age.csv,0.68637677617670501,0.3076783739724448,0.42480596775803348
adults_anonymized_k19_emph_race.csv,0.68024347161542698,0.31726938014276695,0.432566267071193
adults_anonymized_k19_equal.csv,0.68312167984818062,0.32169733674065271,0.43725645255265144
adults_capital-gain_2000_0.2.csv,0.72703732879022431,0.59376692892304139,0.65348180195087791
adults_capital-gain_2000_0.4.csv,0.71462298443894312,0.576992132529067,0.638378423147277
adults_capital-gain_2000_0.6.csv,0.69800710476515593,0.5590431710878756,0.62073123056215684
adults_capital-gain_2000_0.8.csv,0.69744071803589125,0.54693956699914603,0.6129398164343689
adults_capital-gain_2000_1.csv,0.67452143461769876,0.52987949157030745,0.59321960253727846
adults_education-num_10_0.2.csv,0.73347748936171731,0.56701949682963892,0.63951262373249551
adults_education-num_10_0.4.csv,0.73196002962732098,0.54159807581120745,0.62245509159001899
adults_education-num_10_0.6.csv,0.7173240822832273,0.488936392217657,0.58117151273540824
adults_education-num_10_0.8.csv,0.71493211318725436,0.41873585425975407,0.52797810199627204
adults_education-num_10_1.csv,0.68995377934708091,0.29919852321352119,0.41692414023844188
adults_marital-status_Married-civ-spouse_0.2.csv,0.72645045480495296,0.58209511425524563,0.64627920736972633
adults_marital-status_Married-civ-spouse_0.4.csv,0.74049716888638284,0.56195511947169241,0.63880244293310162
adults_marital-status_Married-civ-spouse_0.6.csv,0.73854171424524961,0.53555674175667212,0.62073683878201891
adults_marital-status_Married-civ-spouse_0.8.csv,0.77039794090474523,0.47105439894225148,0.58453822632698693
adults_marital-status_Married-civ-spouse_1.csv,0.83475308941520487,0.27824314099729508,0.41673908015404215
adults_marital-status_Never-married_0.2.csv,0.73782958004159727,0.61258724603476766,0.66932178696096156
adults_marital-status_Never-married_0.4.csv,0.73871304504329049,0.61033234395180336,0.66830325475648011
adults_marital-status_Never-married_0.6.csv,0.73409585589018689,0.62507512163442946,0.67512771490460322
adults_marital-status_Never-married_0.8.csv,0.72895639951527869,0.61742469157026392,0.66852531972995832
adults_marital-status_Never-married_1.csv,0.7327138337720126,0.62305769865577454,0.67337550644623101
adults_occupation_Other-service_0.2.csv,0.73903566008292731,0.60010522071010697,0.66229161291380156
adults_occupation_Other-service_0.4.csv,0.73187457646873377,0.60477102841615227,0.6620695584753874
adults_occupation_Other-service_0.6.csv,0.733181797900196,0.60645365016841934,0.66367776625347719
adults_occupation_Other-service_0.8.csv,0.74362760013946017,0.60709892380200237,0.66837407307662011
adults_occupation_Other-service_1.csv,0.73348929001352559,0.60789390672948573,0.6646554257989401
adults_original_dataset.csv,0.73617959203665839,0.60417017281058483,0.66362658892741633
adults_relationship_Own-child_0.2.csv,0.73609216364507701,0.60062141273390013,0.66139477634042376
adults_relationship_Own-child_0.4.csv,0.7360540125934224,0.60202759600775457,0.66229611350116835
adults_relationship_Own-child_0.6.csv,0.73548518862175405,0.60099506850745721,0.66142992913152376
adults_relationship_Own-child_0.8.csv,0.73740616404559989,0.59949911557616475,0.66115785104026326
adults_relationship_Own-child_1.csv,0.73744535928141153,0.61283830883837276,0.66934005055766677
