age, workclass, native-country, sex, race, marital-status, income 
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, >50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, >50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, <=50K
39, *, United-States, Male, White, Never-married, >50K
39, *, United-States, Male, White, Never-married, >50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
