age, workclass, native-country, sex, race, marital-status, income 
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, >50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, >50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
41.5, State-gov, United-States, Male, White, Never-married, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, >50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
38, Private, United-States, Male, White, Divorced, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, >50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, >50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, >50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, >50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, >50K
53.5, Private, United-States, Male, Black, Married-civ-spouse, >50K
29.5, Private, America, Female, Black, Married-civ-spouse, <=50K
29.5, Private, America, Female, Black, Married-civ-spouse, >50K
29.5, Private, America, Female, Black, Married-civ-spouse, <=50K
29.5, Private, America, Female, Black, Married-civ-spouse, <=50K
29.5, Private, America, Female, Black, Married-civ-spouse, <=50K
29.5, Private, America, Female, Black, Married-civ-spouse, <=50K
29.5, Private, America, Female, Black, Married-civ-spouse, <=50K
