nodeID,age, workclass, native-country, sex, race, marital-status, income 
0,41.5, State-gov, United-States, Male, White, Never-married, <=50K
1,41.5, State-gov, United-States, Male, White, Never-married, <=50K
2,41.5, State-gov, United-States, Male, White, Never-married, <=50K
3,41.5, State-gov, United-States, Male, White, Never-married, <=50K
4,41.5, State-gov, United-States, Male, White, Never-married, <=50K
5,41.5, State-gov, United-States, Male, White, Never-married, <=50K
6,41.5, State-gov, United-States, Male, White, Never-married, <=50K
7,41.5, State-gov, United-States, Male, White, Never-married, <=50K
8,41.5, State-gov, United-States, Male, White, Never-married, <=50K
9,41.5, State-gov, United-States, Male, White, Never-married, <=50K
10,41.5, State-gov, United-States, Male, White, Never-married, <=50K
11,41.5, State-gov, United-States, Male, White, Never-married, >50K
12,41.5, State-gov, United-States, Male, White, Never-married, <=50K
13,41.5, State-gov, United-States, Male, White, Never-married, <=50K
14,41.5, State-gov, United-States, Male, White, Never-married, <=50K
15,41.5, State-gov, United-States, Male, White, Never-married, <=50K
16,41.5, State-gov, United-States, Male, White, Never-married, >50K
17,41.5, State-gov, United-States, Male, White, Never-married, <=50K
18,41.5, State-gov, United-States, Male, White, Never-married, <=50K
19,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
20,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
21,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
22,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
23,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
24,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
25,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
26,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
27,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
28,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
29,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
30,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
31,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
32,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
33,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
34,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
35,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
36,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, <=50K
37,50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, >50K
38,38, Private, United-States, Male, White, Divorced, <=50K
39,38, Private, United-States, Male, White, Divorced, <=50K
40,38, Private, United-States, Male, White, Divorced, <=50K
41,38, Private, United-States, Male, White, Divorced, <=50K
42,38, Private, United-States, Male, White, Divorced, <=50K
43,38, Private, United-States, Male, White, Divorced, <=50K
44,38, Private, United-States, Male, White, Divorced, >50K
45,38, Private, United-States, Male, White, Divorced, <=50K
46,38, Private, United-States, Male, White, Divorced, <=50K
47,38, Private, United-States, Male, White, Divorced, <=50K
48,38, Private, United-States, Male, White, Divorced, <=50K
49,38, Private, United-States, Male, White, Divorced, <=50K
50,38, Private, United-States, Male, White, Divorced, <=50K
51,38, Private, United-States, Male, White, Divorced, <=50K
52,38, Private, United-States, Male, White, Divorced, <=50K
53,38, Private, United-States, Male, White, Divorced, <=50K
54,38, Private, United-States, Male, White, Divorced, <=50K
55,38, Private, United-States, Male, White, Divorced, <=50K
56,38, Private, United-States, Male, White, Divorced, <=50K
57,53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
58,53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
59,53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
60,53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
61,53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
62,53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
63,53.5, Private, United-States, Male, Black, Married-civ-spouse, >50K
64,53.5, Private, United-States, Male, Black, Married-civ-spouse, <=50K
